company,ticker,fiscal_year,fiscal_year_end,role,metric,value_usd_millions,source
AMD,AMD,2023,2023-12-31,demand,Data Center segment revenue,6500,Derived from FY2024 press release stated YoY growth (94%; approximate)
AMD,AMD,2024,2024-12-31,demand,Data Center segment revenue,12600,AMD Q4 FY2024 earnings release (SEC 8-K)
Alphabet,GOOGL,2021,2021-12-31,demand,Google Cloud segment revenue,19210,Alphabet FY2021 10-K
Alphabet,GOOGL,2021,2021-12-31,supply,Capital expenditures,24640,stockanalysis.com/SEC 10-K
Alphabet,GOOGL,2022,2022-12-31,demand,Google Cloud segment revenue,26310,Derived: FY2021 + stated USD 7.1B increase (Alphabet FY2022 10-K)
Alphabet,GOOGL,2022,2022-12-31,supply,Capital expenditures,31485,stockanalysis.com/SEC 10-K
Alphabet,GOOGL,2023,2023-12-31,demand,Google Cloud segment revenue,33130,Derived: FY2024 figure minus stated USD 10.1B increase (Alphabet FY2024 10-K)
Alphabet,GOOGL,2023,2023-12-31,supply,Capital expenditures,32251,stockanalysis.com/SEC 10-K
Alphabet,GOOGL,2024,2024-12-31,demand,Google Cloud segment revenue,43230,Alphabet FY2024 10-K / bullfincher.io
Alphabet,GOOGL,2024,2024-12-31,supply,Capital expenditures,52535,stockanalysis.com/SEC 10-K
Alphabet,GOOGL,2025,2025-12-31,demand,Google Cloud segment revenue,58710,Alphabet FY2025 10-K / bullfincher.io
Alphabet,GOOGL,2025,2025-12-31,supply,Capital expenditures,91447,stockanalysis.com/SEC 10-K
Amazon,AMZN,2021,2021-12-31,demand,AWS segment net sales,62202,Amazon FY2023 10-K (segment table)
Amazon,AMZN,2021,2021-12-31,supply,Capital expenditures,61053,stockanalysis.com/SEC 10-K
Amazon,AMZN,2022,2022-12-31,demand,AWS segment net sales,80096,Amazon FY2023 10-K (segment table)
Amazon,AMZN,2022,2022-12-31,supply,Capital expenditures,63645,stockanalysis.com/SEC 10-K
Amazon,AMZN,2023,2023-12-31,demand,AWS segment net sales,90757,Amazon FY2023 10-K (segment table)
Amazon,AMZN,2023,2023-12-31,supply,Capital expenditures,52729,stockanalysis.com/SEC 10-K
Amazon,AMZN,2024,2024-12-31,demand,AWS segment net sales,107560,Amazon FY2024 earnings release / electroiq.com aggregation
Amazon,AMZN,2024,2024-12-31,supply,Capital expenditures,82999,stockanalysis.com/SEC 10-K
Amazon,AMZN,2025,2025-12-31,demand,AWS segment net sales,128700,Amazon FY2025 earnings release (Feb 2026) / Axis Intelligence aggregation
Amazon,AMZN,2025,2025-12-31,supply,Capital expenditures,131819,stockanalysis.com/SEC 10-K
Broadcom,AVGO,2024,2024-11-03,demand,AI semiconductor revenue,12200,Broadcom Q4 FY2024 earnings release
Broadcom,AVGO,2025,2025-11-02,demand,AI semiconductor revenue,20200,Sum of quarterly AI revenue disclosed in FY2025 earnings releases (approximate)
Meta,META,2021,2021-12-31,demand,Total revenue (weak AI-demand proxy - no separate cloud/AI segment),117930,Meta FY2024 earnings release (prior-year series) / wallstreetzen.com
Meta,META,2021,2021-12-31,supply,Capital expenditures,18690,stockanalysis.com/SEC 10-K
Meta,META,2022,2022-12-31,demand,Total revenue (weak AI-demand proxy - no separate cloud/AI segment),116610,Meta FY2024 earnings release (prior-year series) / wallstreetzen.com
Meta,META,2022,2022-12-31,supply,Capital expenditures,31186,stockanalysis.com/SEC 10-K
Meta,META,2023,2023-12-31,demand,Total revenue (weak AI-demand proxy - no separate cloud/AI segment),134900,Meta FY2024 earnings release
Meta,META,2023,2023-12-31,supply,Capital expenditures,27045,stockanalysis.com/SEC 10-K
Meta,META,2024,2024-12-31,demand,Total revenue (weak AI-demand proxy - no separate cloud/AI segment),164500,Meta FY2024 earnings release
Meta,META,2024,2024-12-31,supply,Capital expenditures,37256,stockanalysis.com/SEC 10-K
Meta,META,2025,2025-12-31,demand,Total revenue (weak AI-demand proxy - no separate cloud/AI segment),200970,Meta FY2025 earnings release / stockanalysis.com
Meta,META,2025,2025-12-31,supply,Capital expenditures,69691,stockanalysis.com/SEC 10-K
Micron,MU,2022,2022-08-31,supply,Capital expenditures,12067,stock-analysis-on.net/SEC 10-K
Micron,MU,2023,2023-08-31,demand,Total revenue,15540,Micron FY2024 Q4 earnings release (prior-year comparison)
Micron,MU,2023,2023-08-31,supply,Capital expenditures,7676,stock-analysis-on.net/SEC 10-K
Micron,MU,2024,2024-08-31,demand,Total revenue,25110,Micron FY2024 Q4 earnings release
Micron,MU,2024,2024-08-31,supply,Capital expenditures,8386,stock-analysis-on.net/SEC 10-K
Micron,MU,2025,2025-08-31,demand,Total revenue,37400,Micron FY2025 Q4 earnings release
Micron,MU,2025,2025-08-31,supply,Capital expenditures,13800,Micron Q4 FY2025 earnings release
Microsoft,MSFT,2021,2021-06-30,supply,Capital expenditures,20622,stockanalysis.com/SEC 10-K
Microsoft,MSFT,2022,2022-06-30,demand,Microsoft Cloud revenue,91400,Microsoft FY2024 10-K (prior-year comparison)
Microsoft,MSFT,2022,2022-06-30,supply,Capital expenditures,23886,stockanalysis.com/SEC 10-K
Microsoft,MSFT,2023,2023-06-30,demand,Microsoft Cloud revenue,111600,Microsoft FY2024 10-K (prior-year comparison)
Microsoft,MSFT,2023,2023-06-30,supply,Capital expenditures,28107,stockanalysis.com/SEC 10-K
Microsoft,MSFT,2024,2024-06-30,demand,Microsoft Cloud revenue,137700,Microsoft FY2025 10-K (prior-year comparison)
Microsoft,MSFT,2024,2024-06-30,supply,Capital expenditures,44477,stockanalysis.com/SEC 10-K
Microsoft,MSFT,2025,2025-06-30,demand,Microsoft Cloud revenue,168900,Microsoft FY2026 10-K (prior-year comparison)
Microsoft,MSFT,2025,2025-06-30,supply,Capital expenditures,64551,stockanalysis.com/SEC 10-K
Microsoft,MSFT,2026,2026-06-30,demand,Microsoft Cloud revenue,214400,Microsoft FY2026 10-K
Microsoft,MSFT,2026,2026-06-30,supply,Capital expenditures,115948,stockanalysis.com/SEC 10-K
