company,ticker,quarter_end,capex_usd_millions,source
Microsoft,MSFT,2019-09-30,3385,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2019-12-31,3545,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2020-03-31,3767,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2020-06-30,4744,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2020-09-30,4907,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2020-12-31,4174,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2021-03-31,5089,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2021-06-30,6452,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2021-09-30,5810,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2021-12-31,5865,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2022-03-31,5340,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2022-06-30,6871,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2022-09-30,6283,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2022-12-31,6274,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2023-03-31,6607,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2023-06-30,8943,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2023-09-30,9917,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2023-12-31,9735,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2024-03-31,10952,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2024-06-30,13873,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2024-09-30,14923,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2024-12-31,15804,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2025-03-31,16745,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2025-06-30,17079,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2025-09-30,19394,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2025-12-31,29876,stock-analysis-on.net (10-Q/10-K filings)
Microsoft,MSFT,2026-03-31,30876,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2021-03-31,5942,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2021-06-30,5496,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2021-09-30,6819,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2021-12-31,6383,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2022-03-31,9786,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2022-06-30,6828,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2022-09-30,7276,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2022-12-31,7595,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2023-03-31,6289,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2023-06-30,6888,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2023-09-30,8055,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2023-12-31,11019,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2024-03-31,12012,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2024-06-30,13186,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2024-09-30,13061,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2024-12-31,14276,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2025-03-31,17197,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2025-06-30,22446,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2025-09-30,23953,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2025-12-31,27851,stock-analysis-on.net (10-Q/10-K filings)
Alphabet,GOOGL,2026-03-31,35674,stock-analysis-on.net (10-Q/10-K filings)
